tsunami,significance,data_type,magnitude,state,longitude,latitude,depth,date,time
0,765,earthquake,6.6, Afghanistan,70.743,36.419,204.8,2009-01-03,20:23:20.180000+00:00
0,846,earthquake,7.4, Indonesia,133.305,-0.691,23.0,2009-01-03,22:33:40.290000+00:00
0,554,earthquake,6.0, Indonesia,133.434,-0.659,16.0,2009-01-06,22:48:27.250000+00:00
0,1238,earthquake,6.1, Costa Rica,-84.197,10.165,14.0,2009-01-08,19:21:35.610000+00:00
0,554,earthquake,6.0,Mid-Indian Ridge,66.078,-13.147,10.0,2009-01-13,01:04:42.640000+00:00
0,691,earthquake,6.7, New Caledonia,170.635,-22.352,27.0,2009-01-15,07:27:20.290000+00:00
0,848,earthquake,7.4,east of the Kuril Islands,155.154,46.857,36.0,2009-01-15,17:49:39.070000+00:00
0,630,earthquake,6.4, New Zealand,-177.951,-30.199,33.0,2009-01-18,14:11:48.860000+00:00
0,670,earthquake,6.6,southeast of the Loyalty Islands,170.911,-22.596,12.0,2009-01-19,03:35:18.840000+00:00
0,554,earthquake,6.0,southeast of the Loyalty Islands,170.806,-22.477,35.0,2009-01-19,03:46:37.520000+00:00
0,572,earthquake,6.1,southeast of the Loyalty Islands,171.043,-22.689,24.0,2009-01-21,17:08:42.990000+00:00
0,572,earthquake,6.1, Papua New Guinea,148.511,-5.912,44.0,2009-01-22,13:40:25.990000+00:00
0,579,earthquake,6.1, Timor Leste,128.568,-7.307,146.7,2009-01-22,20:16:34.580000+00:00
0,595,earthquake,6.0, Peru,-76.558,-13.582,21.0,2009-02-02,17:53:21.800000+00:00
0,556,earthquake,6.0, Peru,-81.15,-6.567,15.0,2009-02-09,14:09:02.980000+00:00
0,802,earthquake,7.2, Philippines,126.387,3.886,20.0,2009-02-11,17:34:50.490000+00:00
0,554,earthquake,6.0, Philippines,126.783,4.026,35.0,2009-02-11,18:25:11.240000+00:00
0,554,earthquake,6.0, Philippines,126.411,3.947,26.0,2009-02-12,03:49:39.660000+00:00
0,554,earthquake,6.0, Philippines,126.724,3.972,35.0,2009-02-12,08:30:17.260000+00:00
0,611,earthquake,6.3, Philippines,126.548,4.036,27.0,2009-02-12,13:15:06.280000+00:00
0,597,earthquake,6.1,near the coast of northern Peru,-80.891,-5.854,21.0,2009-02-15,10:04:49.310000+00:00
0,554,earthquake,6.0, New Zealand,-178.617,-30.724,13.0,2009-02-17,03:30:53.330000+00:00
0,754,earthquake,7.0,Kermadec Islands region,-176.33,-27.424,25.0,2009-02-18,21:53:45.160000+00:00
0,554,earthquake,6.0, Philippines,126.561,3.679,32.0,2009-02-22,17:45:22.400000+00:00
0,611,earthquake,6.3,South Sandwich Islands region,-24.796,-60.525,15.0,2009-02-28,14:33:06.350000+00:00
0,650,earthquake,6.5,north of Svalbard,-1.853,80.324,9.0,2009-03-06,10:50:29.410000+00:00
0,623,earthquake,6.3, Panama,-82.767,5.686,9.0,2009-03-12,23:23:34.820000+00:00
0,611,earthquake,6.3, Philippines,126.552,3.807,35.0,2009-03-16,14:15:56.460000+00:00
