date,change,change_pct,effect,num,sum,max_mag,max_sig,min_depth,min_dist,tsunami
2012-01-04,-12.169921875,-0.15961977141019304,0,0,,,,,,
2012-01-05,-12.1796875,-0.16000325343369715,0,0,,,,,,
2012-01-06,-42.2900390625,-0.5564500631844839,0,0,,,,,,
2012-01-09,26.97998046875,0.3569875919757485,0,1,6.4,6.4,630.0,28.0,13368.237330773525,0.0
2012-01-10,84.23974609375,1.1106594673768446,0,1,7.2,7.2,838.0,19.0,15050.731455038787,0.0
2012-01-11,-6.919921875,-0.09023356626268066,0,0,,,,,,
2012-01-12,19.27978515625,0.25162928127450535,0,0,,,,,,
2012-01-13,-49.22998046875,-0.6409102409094781,0,0,,,,,,
2012-01-17,38.4404296875,0.5036724275141572,0,2,12.6,6.6,670.0,8.0,11381.014904412852,0.0
2012-01-18,96.47998046875,1.2578105092181149,0,0,,,,,,
2012-01-19,52.40966796875,0.6747779585400228,0,0,,,,,,
2012-01-20,9.9697265625,0.12750037935390565,0,0,,,,,,
2012-01-23,26.18994140625,0.33451063047430074,0,3,18.299999999999997,6.2,932.0,13.0,3409.5841930148,0.0
2012-01-24,-3.2900390625,-0.04194370542197403,0,1,6.3,6.3,611.0,580.3,13211.650575882708,0.0
2012-01-25,85.58984375,1.0932103249277187,0,0,,,,,,
2012-01-26,54.15966796875,0.6917173028419535,0,0,,,,,,
2012-01-27,-7.2900390625,-0.09246742288461571,0,0,,,,,,
2012-01-30,-42.2099609375,-0.5358899535480625,0,1,6.4,6.4,975.0,43.0,6080.126180627753,0.0
2012-01-31,4.06982421875,0.05194806166107153,0,0,,,,,,
2012-02-01,92.9501953125,1.1858191325882734,0,0,,,,,,
2012-02-02,13.97998046875,0.17626008011765856,0,1,7.1,7.1,793.0,23.0,13709.386406975771,0.0
2012-02-03,115.0,1.4473728603208371,0,1,6.1,6.1,572.0,8.0,13666.981388036978,0.0
2012-02-06,-12.39013671875,-0.15371557657031745,0,4,24.9,6.7,1551.0,8.0,13630.266087297692,0.0
2012-02-07,21.67041015625,0.2692635431869152,0,0,,,,,,
2012-02-08,13.27001953125,0.16444233554223495,0,0,,,,,,
2012-02-09,-1.72998046875,-0.021402755826814193,0,0,,,,,,
2012-02-10,-89.2001953125,-1.103792053364269,1,0,,,,,,
2012-02-13,64.2001953125,0.8033027533473442,0,0,,,,,,
2012-02-14,-26.6201171875,-0.3304289630762392,1,1,6.4,6.4,634.0,51.0,13683.33776019589,0.0
2012-02-15,-30.97021484375,-0.3856996270279073,0,0,,,,,,
2012-02-16,93.5400390625,1.1694478468808975,0,0,,,,,,
2012-02-17,22.31982421875,0.2758193317305067,0,0,,,,,,
2012-02-21,0.6298828125,0.00776215785581521,0,0,,,,,,
2012-02-22,-8.06005859375,-0.0994768051571977,0,0,,,,,,
2012-02-23,43.52978515625,0.537894829188872,0,0,,,,,,
2012-02-24,0.51025390625,0.006259662792863865,0,0,,,,,,
2012-02-27,42.93017578125,0.5299609586204777,0,2,12.7,6.7,833.0,10.0,9716.153330982488,0.0
2012-02-28,22.47021484375,0.27573962830664805,0,0,,,,,,
2012-02-29,-69.009765625,-0.8434081777628403,0,0,,,,,,
2012-03-01,38.97998046875,0.47909732305398484,0,0,,,,,,
2012-03-02,-32.490234375,-0.3982788416370541,0,0,,,,,,
2012-03-05,-18.240234375,-0.22492372336549618,0,2,12.7,6.6,670.0,14.0,7715.107738804174,0.0
2012-03-06,-80.080078125,-1.0009471536595231,0,0,,,,,,
2012-03-07,43.3798828125,0.5465939638410762,0,0,,,,,,
2012-03-08,43.68017578125,0.5433668811578026,0,0,,,,,,
2012-03-09,14.2099609375,0.17569428735174397,1,1,6.7,6.7,691.0,16.0,13586.803429510957,0.0
2012-03-12,-15.8203125,-0.19526187419699306,0,0,,,,,,
2012-03-13,148.20068359375,1.8327424666383385,0,0,,,,,,
2012-03-14,-38.48974609375,-0.468031012465073,0,3,19.0,6.9,804.0,10.0,10152.224934102742,0.0
2012-03-15,51.9501953125,0.6339433356166114,0,1,6.2,6.2,594.0,28.0,14092.212637821165,0.0
2012-03-16,4.9599609375,0.06000842882715599,0,0,,,,,,
2012-03-19,35.16015625,0.4255487639477319,0,0,,,,,,
2012-03-20,-5.880859375,-0.07130777415778793,0,2,13.5,7.4,1752.0,20.0,3561.214438415804,0.0
2012-03-21,-22.23046875,-0.26973583803905693,0,0,,,,,,
2012-03-22,-12.8701171875,-0.15783440513381583,0,1,6.6,6.6,709.0,118.0,14514.303921006804,0.0
2012-03-23,40.77001953125,0.5009045100722919,0,0,,,,,,
2012-03-26,60.58984375,0.7363690020030461,0,1,6.0,6.0,555.0,10.0,4513.4833276685995,0.0
2012-03-27,-50.25,-0.6061826959438207,0,1,6.1,6.1,617.0,15.0,10367.963327738475,0.0
2012-03-28,-46.47998046875,-0.5644315672307484,0,0,,,,,,
2012-03-29,28.4501953125,0.34960033504415455,0,0,,,,,,
2012-03-30,5.66015625,0.06901561067384289,0,0,,,,,,
2012-04-02,74.1796875,0.9038653093138703,0,1,6.0,6.0,789.0,9.0,3575.32570979642,0.0
2012-04-03,-47.7099609375,-0.5773053929576186,0,0,,,,,,
2012-04-04,-28.39990234375,-0.34909771957195,0,0,,,,,,
2012-04-05,8.41015625,0.10417711900548352,0,0,,,,,,
2012-04-09,-6.509765625,-0.0813840762519715,0,1,6.1,6.1,572.0,108.5,13826.926924519683,0.0
2012-04-10,-128.08984375,-1.6071498588456712,0,0,,,,,,
2012-04-11,-4.3701171875,-0.05519762074202007,1,3,22.799999999999997,8.6,2048.0,10.0,15058.187502693372,0.0
2012-04-12,112.31005859375,1.4166896662420292,0,4,25.5,7.0,1171.0,8.0,3709.4733646095224,0.0
2012-04-13,-81.919921875,-1.022336478690294,0,0,,,,,,
2012-04-16,-20.7197265625,-0.2599623491397148,0,3,18.6,6.2,599.0,11.0,10935.925192430606,0.0
2012-04-17,63.25,0.7905469296306066,0,2,12.9,6.7,691.0,12.0,8126.117724624238,0.0
2012-04-18,1.240234375,0.015446684673203493,0,0,,,,,,
2012-04-19,-39.56982421875,-0.49243883769145663,0,0,,,,,,
2012-04-20,-4.80029296875,-0.05977770064961961,0,0,,,,,,
2012-04-23,4.3203125,0.05443654119273612,0,3,18.7,6.7,691.0,16.0,13096.366509933476,0.0
2012-04-24,35.9697265625,0.4523333180643872,0,0,,,,,,
2012-04-25,33.6201171875,0.4183079058213656,0,0,,,,,,
2012-04-26,71.9296875,0.8934099553422382,0,0,,,,,,
2012-04-27,8.3701171875,0.10278229304885426,0,0,,,,,,
2012-04-30,-13.89013671875,-0.17078841484552196,0,1,6.6,6.6,675.0,134.7,12236.013878399106,0.0
2012-05-01,48.97998046875,0.6035689214262906,0,0,,,,,,
2012-05-02,-39.7001953125,-0.4862824346035772,0,1,6.0,6.0,569.0,14.0,3452.1286522813243,0.0
2012-05-03,-73.1298828125,-0.9002794851750231,0,0,,,,,,
2012-05-04,-96.73974609375,-1.2047246234699691,0,0,,,,,,
2012-05-07,41.18994140625,0.5208918657706053,0,0,,,,,,
